flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
198,483,472,149,122,0.5547,9.7991,0.6274,-0.02,-0.0728,0.0069,R
199,562,569,564,551,0.5639,8.9695,1.1817,-0.0445,-0.0455,0.1244,4
213,128,157,144,75,0.574,9.6495,1.342,0.079,-0.0508,-0.0405,A
193,537,555,173,133,0.3142,9.4692,1.2684,0.0386,0.0588,-0.0211,U
180,167,178,145,561,1.4569,8.9598,2.5923,-0.0257,0.0669,-0.0117,J
227,460,490,159,101,0.3725,9.812,0.5064,-0.0045,0.0671,-0.0602,R
361,553,600,543,351,0.2406,8.8289,1.2797,0.0566,0.116,-0.0094,6
207,499,517,160,122,0.1391,9.6451,1.1601,0.0227,0.0324,-0.054,U
359,356,354,369,325,1.3843,8.8004,1.7166,-0.0635,0.0334,0.0336,C
270,108,119,111,89,0.1272,9.8951,0.825,-0.1189,-0.0167,0.0404,S
184,175,198,166,151,0.2838,9.7015,0.6327,-0.0552,0.0417,0.0622,N
199,547,171,184,111,2.4946,7.6979,4.1669,-0.0022,0.0496,0.0021,Z
314,537,571,164,141,5.4587,7.3353,2.336,0.0096,0.0397,0.0107,H
237,246,558,569,564,0.84,9.6123,1.352,-0.0329,0.0087,-0.0424,F
546,557,568,172,105,0.351,9.6943,0.3535,0.0162,0.0134,0.1364,3
194,172,180,137,583,0.8086,9.723,0.4886,-0.0164,-0.0024,0.0135,I
203,395,177,122,123,0.5248,10.0017,0.6692,0.0213,-0.02,-0.0598,X
179,573,527,540,570,-0.1706,9.7165,1.1416,0.0838,-0.0195,-0.022,4
535,101,161,159,562,0.9554,9.2854,1.7078,0.0189,-0.0692,-0.0645,Y
202,582,229,203,211,0.3602,9.6772,0.6967,-0.0375,0.0169,-0.0273,D
313,582,546,344,514,0.9807,10.0942,0.7027,0.0643,0.0516,0.0321,7
214,559,548,152,120,1.1653,9.3951,0.9971,0.0755,0.0217,0.032,V
398,573,549,138,98,0.7655,9.3881,0.6358,-0.113,-0.0198,0.0202,K
220,568,195,165,132,3.2864,8.431,4.0385,-0.0319,0.0433,0.0286,Z
263,133,111,147,106,0.3686,10.0288,0.8688,-0.0865,0.0951,0.0506,S
197,564,543,526,131,0.2899,9.2285,1.0123,0.0057,-0.0195,0.0195,W
199,333,155,145,159,0.2631,9.6367,0.8115,0.0891,-0.0097,-0.0622,X
188,556,564,558,589,0.3119,9.6592,0.6184,-0.0947,0.0039,0.0432,4
303,279,522,577,581,0.5156,9.492,1.1955,0.0986,-0.0398,0.0073,F
373,559,513,572,341,0.2827,9.1915,1.5691,0.0737,0.0236,-0.0241,6
255,119,119,119,97,0.557,9.6045,1.0557,0.0311,0.119,0.0068,S
225,515,505,154,150,1.2155,9.0537,1.2877,0.0581,-0.0292,0.0942,2
205,572,541,549,122,0.2362,9.1407,1.1883,-0.0294,0.0063,-0.0419,W
164,552,579,558,535,0.6811,9.8386,1.0999,0.0566,-0.0271,0.0529,4
253,126,109,116,103,0.4096,9.5144,1.5224,-0.0836,0.1159,0.0589,S
189,167,202,180,127,0.4333,10.1828,0.4047,0.0432,0.0434,-0.0319,M
256,587,163,170,143,2.7726,8.1703,4.3957,-0.0901,-0.072,0.0375,Z
291,513,368,540,560,0.329,8.8406,0.9124,-0.0551,-0.0254,-0.0289,8
394,532,540,149,132,0.4235,9.5838,0.7478,-0.0035,-0.1028,0.0073,K
188,187,177,208,188,0.7902,9.7603,1.0682,-0.0445,-0.048,0.0127,E
294,567,541,379,548,1.006,8.7972,1.3026,0.0125,-0.0765,-0.0112,7
205,564,551,144,171,1.2977,10.033,1.3971,-0.0418,0.0403,0.0554,V
338,589,171,154,132,0.1327,6.7384,5.9952,-0.0314,-0.0616,0.0312,Q
608,574,537,581,570,0.8099,9.64,1.4311,0.0541,0.0276,-0.0219,5
578,529,565,539,565,0.5941,9.9591,1.1179,-0.0198,0.0033,0.0959,5
336,297,302,319,343,1.259,9.1781,1.516,-0.1291,0.0326,0.0067,0
222,544,197,156,108,2.7983,8.2177,3.704,0.0415,-0.0427,-0.0038,Z
335,534,555,545,379,0.2608,9.2766,1.2487,-0.0019,0.0524,0.032,6
351,313,334,362,303,1.1122,9.2029,1.4789,-0.0697,-0.0679,-0.0328,0
222,466,464,138,126,-0.1471,9.3904,0.8713,-0.0056,0.0167,0.03,R
282,380,129,191,134,0.7044,9.4189,1.5535,0.0268,0.0652,0.0423,9
231,446,469,156,136,0.5322,9.4901,0.9033,0.017,0.0369,0.0493,R
320,556,382,546,582,0.0173,9.8934,1.3277,-0.0789,0.0234,-0.0063,8
277,130,133,152,125,0.0226,10.256,0.6053,-0.0231,0.0037,0.0083,S
233,542,527,167,160,1.2539,9.4974,1.294,-0.0775,-0.0411,0.0109,V
548,147,180,166,572,0.6447,9.0294,1.897,-0.0113,-0.0181,0.0107,Y
162,534,560,517,553,0.2903,9.7552,1.3079,0.0175,-0.0502,-0.0048,B
348,169,157,177,122,0.1436,9.976,1.1466,-0.0392,0.0067,0.0014,T
317,523,189,161,146,0.725,7.3029,6.1857,-0.046,0.1124,-0.076,Q
144,549,546,554,553,0.1606,9.9478,0.369,-0.0803,0.0875,0.0691,B
350,143,161,147,138,0.94,9.8543,0.7937,0.0057,0.0761,0.0262,T
212,561,542,517,577,0.1426,9.166,1.3615,-0.003,0.0244,0.0114,4
241,521,541,544,123,0.589,8.9955,1.5076,0.0443,0.0337,-0.0104,W
316,550,167,152,113,5.2278,6.9328,1.976,0.014,0.0133,-0.0715,G
193,146,187,211,114,0.3531,9.4413,0.5422,0.0486,-0.0523,0.0146,M
218,433,495,159,135,0.2972,9.6379,0.5339,-0.0587,-0.0077,-0.0483,R
566,555,567,553,561,-0.0418,9.5637,1.4524,-0.0818,-0.0656,-0.0164,5
163,192,227,165,129,0.3062,9.4814,0.8943,0.0388,-0.0166,-0.1245,N
201,218,183,204,113,0.399,9.8912,0.4127,-0.0263,0.0477,0.0308,M
288,581,163,129,124,5.2878,6.8905,1.5576,-0.0082,-0.0429,0.0246,G
340,338,343,326,307,-0.0951,9.4915,1.2943,0.0992,0.0369,0.0475,0
295,566,174,143,140,5.0869,7.6999,2.1212,-0.0071,-0.0428,-0.0372,G
196,553,144,146,136,0.3536,9.7859,0.1232,0.0064,0.0174,-0.0338,1
309,511,574,365,548,0.6653,9.1897,0.9057,-0.0608,0.0372,0.0597,7
241,547,169,152,138,-0.5404,9.2122,0.6718,-0.0818,-0.0244,0.0702,1
215,545,547,571,522,0.2571,9.1017,0.7912,-0.021,0.0301,0.0233,4
161,556,566,550,571,0.6915,9.8144,0.5935,-0.0759,-0.1315,0.0194,B
234,524,254,208,187,0.0292,10.4095,0.8726,-0.0425,0.0432,0.0385,D
170,554,573,532,547,-0.0318,9.9491,0.7701,0.0226,0.0592,-0.0589,B
578,139,171,179,599,0.3346,9.0434,1.3718,-0.0294,-0.0942,0.0818,Y
227,534,531,544,144,0.1947,9.4453,1.0463,-0.0762,-0.0641,0.0455,W
245,150,151,156,97,0.5592,9.3147,0.9052,0.0308,0.0602,-0.007,A
170,584,165,150,104,0.9604,9.8965,0.4615,0.061,0.0194,-0.0251,1
306,552,135,152,137,5.1332,7.3663,1.9638,-0.0694,0.0528,0.0718,G
499,179,152,136,563,0.7657,9.6476,1.8377,-0.0429,0.0102,-0.0889,Y
220,554,557,172,155,0.9399,9.2916,1.8029,0.0215,0.1478,0.0146,V
541,171,154,191,571,0.2231,8.8213,1.7624,0.0421,0.0378,0.0843,Y
377,375,368,385,324,1.1514,9.188,1.1281,-0.0751,-0.0373,-0.0331,C
231,209,151,121,570,0.3559,9.9183,0.8855,0.0029,0.0564,0.0634,I
206,189,188,187,84,0.142,9.814,0.7933,-0.0643,0.0482,-0.0149,M
329,173,126,109,132,0.7014,8.9867,1.1578,0.0595,-0.0002,0.0451,T
557,563,539,143,113,0.2749,9.4859,0.6448,0.0533,0.0258,-0.0432,3
197,165,215,166,148,0.6663,10.0005,0.6055,-0.0104,-0.0306,0.0448,N
230,572,560,151,124,0.3616,9.4884,1.3122,0.0612,0.03,0.0969,V
333,575,541,391,567,0.1814,9.4641,0.9421,-0.0368,-0.0317,0.0226,7
196,543,220,186,216,0.3427,9.7144,1.2097,-0.0315,0.0287,-0.0055,D
208,337,157,161,101,0.4144,9.6176,0.7924,0.0202,0.0138,-0.0152,X
319,565,560,144,119,5.0471,6.7452,2.4113,-0.1201,-0.0389,-0.0255,H
171,545,585,562,566,-0.2018,9.4131,1.2298,-0.0135,0.1097,0.0224,4
322,357,171,143,135,0.5071,9.3617,1.2093,-0.0146,0.0071,-0.0099,9
289,519,196,172,118,0.4902,6.4641,6.8472,-0.0975,0.0255,-0.0919,Q
248,550,530,182,129,0.0152,9.7871,1.2236,0.0192,0.0712,-0.0242,2
278,260,598,539,591,0.5816,8.9036,1.3449,0.0157,-0.0526,-0.0461,F
330,317,328,310,304,0.2188,8.9949,1.1535,0.0289,-0.0575,-0.0026,0
156,526,542,554,542,-0.0871,9.8031,0.4854,0.0016,-0.0379,-0.0115,B
240,572,516,182,130,0.6914,9.5796,0.9138,-0.0152,0.0496,-0.0336,2
354,370,379,351,299,1.157,8.6339,0.8948,-0.1416,0.0407,0.0064,C
337,365,382,363,365,0.6863,8.9921,1.3126,0.0373,0.0016,0.0345,C
217,363,189,143,102,1.2998,9.5927,1.1646,0.0321,0.0386,0.0449,X
293,558,546,153,124,5.6108,6.8749,1.6877,0.0292,-0.0072,-0.0708,H
327,149,141,151,139,0.2698,9.5501,1.3351,0.03,-0.0638,0.0224,T
206,536,567,550,538,0.3741,9.6003,0.8715,-0.0401,-0.0586,0.0307,4
383,376,368,346,351,0.8401,8.8968,1.3876,-0.049,-0.0979,-0.0334,C
308,568,588,176,133,4.8981,7.0546,2.4079,-0.0022,-0.0443,-0.081,H
203,545,535,183,151,0.8875,9.7055,1.3596,-0.0346,0.0108,-0.053,U
245,570,545,178,104,0.3558,9.2453,0.7671,-0.072,0.0547,-0.0197,U
222,531,561,177,104,0.3666,9.3866,2.0822,0.0442,-0.0106,-0.0427,V
208,131,143,133,563,2.0558,9.0749,3.2741,0.0721,0.0144,-0.0488,J
265,347,175,171,121,0.2058,9.9956,0.6933,-0.0705,-0.0281,-0.0891,X
216,552,576,559,123,0.5098,9.7111,1.5379,-0.0421,0.0181,-0.0004,W
235,524,189,159,161,0.3213,10.0963,0.5179,0.0134,0.0058,-0.011,1
292,309,365,340,310,-0.0088,9.3831,1.7956,0.132,0.0946,-0.0443,O
306,566,179,158,100,5.0739,6.7245,1.553,-0.0632,0.0163,0.0681,G
174,591,568,559,549,0.6717,9.8646,0.7681,0.0544,0.0523,0.0137,4
224,549,547,182,146,0.3796,9.582,1.6549,0.0796,-0.0035,0.0568,V
160,542,528,542,564,0.1865,9.7548,0.299,0.0586,-0.0588,0.0244,B
355,308,333,361,316,0.4193,9.7278,1.7961,0.0468,-0.0131,0.0331,O
168,571,527,563,570,0.1574,9.8016,0.8088,0.0436,-0.0572,0.041,B
190,572,569,176,133,0.4408,9.5607,2.1615,0.0058,0.0068,-0.0551,V
318,550,189,177,132,0.3623,6.8352,6.3991,0.0228,0.0418,-0.0722,Q
306,524,559,360,566,0.5183,9.9138,1.1905,0.0146,0.0125,-0.0989,7
299,539,383,580,538,0.6723,9.7042,0.8353,-0.0376,-0.0382,-0.0189,8
224,531,143,147,125,0.7301,10.0525,0.3625,-0.0133,0.0296,0.0029,1
284,569,558,354,561,0.7094,9.8493,0.9777,0.1073,0.0684,0.0264,7
335,335,324,333,308,0.9085,9.6151,1.4476,-0.0095,0.0046,-0.0003,O
230,369,146,151,100,0.4199,9.3898,1.1598,0.0348,-0.0167,0.0141,X
231,521,200,226,203,0.4925,9.3639,0.5065,-0.0253,0.012,0.0743,D
230,544,170,164,103,0.279,9.8504,0.5338,0.0628,0.0156,-0.0121,1
548,555,163,162,118,0.0276,9.0644,1.7155,-0.0153,-0.0332,-0.0703,L
286,154,138,144,78,0.3767,9.6028,0.5252,0.0215,-0.048,-0.0425,S
359,552,560,542,379,0.521,9.4869,0.8051,-0.0322,0.0081,0.0434,6
229,528,540,166,148,0.6857,9.6182,0.6472,-0.06,0.0979,-0.0145,U
295,163,159,180,132,0.567,9.3514,1.2818,0.0617,-0.0813,-0.0648,T
223,175,195,182,118,0.5029,9.5899,1.1571,-0.0641,-0.0552,0.014,N
547,569,177,170,139,0.5541,9.4906,1.5663,-0.0,0.0377,0.0181,L
153,540,565,530,563,0.5654,9.546,0.2846,-0.0115,0.059,0.0097,B
158,527,532,579,556,0.2731,9.9304,0.9808,-0.0131,0.0573,-0.0342,4
211,568,562,173,120,-0.1308,9.3864,0.4972,0.0291,0.0142,-0.0299,U
199,210,173,154,129,0.1134,9.8182,0.6433,0.0649,-0.0466,0.1066,N
402,540,559,181,150,0.2763,6.8464,5.8739,-0.0966,-0.0601,-0.0017,P
399,545,558,155,130,-0.0558,9.2503,1.1968,-0.0615,0.0623,0.0487,K
417,530,544,182,160,0.532,6.9492,5.8496,0.0455,0.0567,-0.0578,P
368,360,342,390,340,0.4479,9.3984,1.3487,-0.0304,-0.0883,0.087,C
229,115,130,118,71,0.7779,10.0728,0.5804,0.0281,-0.0325,-0.0244,A
208,371,139,144,133,0.709,9.3569,1.1371,0.0102,0.0207,-0.0346,X
575,529,536,530,602,0.1006,9.8763,0.8023,0.0043,0.0635,0.0143,5
247,169,134,95,105,0.0722,9.7955,1.1853,0.0736,0.0094,0.041,S
298,595,367,543,574,0.9057,9.552,0.8399,0.0046,0.0545,-0.0155,8
178,181,204,148,538,0.3527,9.8627,0.7726,-0.0527,-0.0054,0.0299,I
555,539,571,174,93,0.7514,9.5195,0.9901,0.0595,-0.0102,0.0447,3
391,555,572,156,130,0.462,9.4146,1.2031,-0.034,0.0666,0.0313,K
205,166,156,215,109,0.0852,9.8969,0.7084,-0.009,-0.0101,0.0174,M
233,547,563,140,153,1.1893,8.8277,1.3482,-0.0199,-0.0719,-0.013,V
345,370,148,175,129,0.8348,9.221,0.9555,-0.027,-0.0865,-0.0219,9
199,186,206,187,177,0.8694,9.5054,0.6644,0.1566,-0.0539,-0.0028,M
332,337,344,308,311,-0.425,9.0453,1.7146,0.0481,-0.0571,-0.0162,O
319,554,134,188,130,4.8812,6.8866,1.3954,0.0297,0.0131,-0.0097,G
349,346,338,355,350,1.0729,9.2854,1.6581,-0.0095,-0.0099,0.0255,C
294,555,555,153,142,4.5806,6.9267,2.1668,-0.0144,-0.0103,-0.0069,H
180,223,222,191,159,0.4888,9.5406,0.8723,-0.0829,0.0236,0.0636,E
342,383,353,347,348,0.7262,8.8748,1.6032,0.0174,-0.0449,-0.0244,C
172,558,568,552,540,0.3539,9.3144,0.5789,-0.0184,-0.0399,-0.0565,4
258,109,137,111,89,0.2954,9.731,1.0119,0.0353,-0.0598,-0.0054,S
375,358,361,360,336,0.9958,8.9812,1.5724,0.0042,0.0399,0.0462,C
530,557,145,144,134,0.5232,9.7435,1.3961,-0.0067,0.0106,-0.0431,L
271,133,128,136,99,0.0689,9.6,1.554,-0.049,-0.0251,0.139,S
322,378,363,385,332,0.047,9.0837,1.5875,-0.0845,-0.0489,0.1378,C
222,550,150,150,124,2.401,8.3038,4.0623,-0.0874,0.0513,0.034,Z
536,559,528,553,555,0.7218,9.7676,1.0273,0.014,0.0299,-0.0005,5
177,151,158,148,574,-0.1044,9.6298,0.8398,-0.0905,-0.0221,0.0128,I
371,550,536,543,328,0.0663,9.379,1.3663,-0.0428,0.0598,-0.028,6
243,534,582,161,113,0.0766,9.2855,0.576,-0.0447,0.0452,0.1301,2
175,153,190,160,597,-0.2222,9.4434,0.3358,-0.0605,-0.0414,0.0158,I
531,143,146,197,596,0.3356,9.8117,0.8139,0.0457,0.0682,0.0753,Y
193,175,184,202,139,0.5005,9.3815,0.521,0.0098,0.0385,0.0002,M
287,251,569,554,576,0.6558,9.7889,1.2671,-0.0742,0.0726,-0.0474,F
193,582,208,218,210,1.3587,9.2267,0.9349,-0.0354,-0.0269,-0.036,D
369,159,184,173,139,0.3356,9.0817,1.1035,0.0175,-0.0288,-0.0048,T
307,534,165,147,128,5.2251,6.9841,1.8827,0.0102,0.0349,-0.0554,G
157,582,554,558,571,0.3265,9.9517,0.3148,-0.0279,-0.055,0.022,B
226,570,520,175,109,0.1073,9.6363,0.9234,0.0265,-0.0473,0.0816,U
174,530,551,537,575,0.1285,9.5023,0.8793,-0.0239,-0.0454,-0.0906,4
562,156,179,168,572,0.812,9.2477,1.7894,0.0259,0.0667,-0.0184,Y
257,149,128,155,88,-0.1114,9.1976,0.4388,-0.0176,0.0009,0.0838,A
263,268,580,526,568,1.0444,9.6277,1.4499,0.0294,0.0649,-0.0544,F
190,200,203,138,122,0.6682,9.2052,0.8223,-0.0085,-0.0283,0.0795,N
191,150,184,163,553,0.3577,9.4026,0.4948,-0.0057,-0.0505,0.0005,I
197,209,194,163,109,0.5075,9.4954,0.8354,0.0533,-0.0601,-0.0207,M
246,429,486,154,135,0.315,9.515,0.9166,-0.0247,-0.0892,-0.0464,R
216,547,173,127,127,3.0556,7.8016,3.9667,-0.0332,0.0277,0.0182,Z
236,567,533,143,171,0.5906,9.4136,1.9894,-0.0222,-0.018,0.0463,V
170,535,572,571,544,0.561,9.4235,0.6008,0.0696,-0.0547,-0.0894,4
299,521,378,497,566,0.7398,8.9452,1.048,-0.0192,0.0097,0.0489,8
540,568,528,525,537,0.5039,9.2832,0.9666,0.0693,-0.0589,-0.0851,5
404,528,558,145,128,0.5501,7.1758,6.2315,-0.0107,0.0243,-0.0243,P
258,138,148,152,102,0.8583,9.315,1.342,0.0352,-0.0305,0.0116,S
223,565,547,554,147,0.5288,9.799,1.3057,-0.0366,-0.0177,0.0444,W
225,523,549,174,144,0.5885,9.491,0.5455,0.0059,0.0401,0.0453,2
224,537,137,179,100,0.4439,9.4746,0.8653,-0.0263,-0.088,-0.002,1
380,501,517,182,127,0.6507,6.8252,5.9705,0.0807,0.0776,0.0471,P
180,536,553,550,545,0.5418,9.6046,0.8195,-0.0002,-0.0523,-0.0409,4
318,348,363,328,330,1.0331,9.3979,1.7104,-0.0992,0.0783,-0.0149,0
326,335,359,326,288,0.6322,9.1733,1.1144,0.0009,0.0486,-0.0287,O
177,552,550,555,549,0.1049,9.412,0.6616,-0.0223,-0.1253,0.0044,4
319,533,159,161,147,0.509,7.0864,6.4974,-0.0246,-0.0567,-0.0143,Q
222,532,261,194,168,0.6943,9.814,0.4922,0.0304,0.0734,-0.0015,D
320,528,530,148,157,4.9241,6.2675,2.363,-0.0153,-0.0925,-0.0158,H
562,558,538,538,539,0.477,9.7722,0.8226,-0.0533,0.0252,0.0789,5
217,135,153,103,123,0.4526,9.3719,0.6964,-0.0827,0.0412,0.0037,A
198,548,528,169,136,0.7572,9.5372,1.1097,0.0806,0.0037,0.1118,2
566,562,535,556,567,0.2578,9.5067,1.1535,-0.0228,-0.0443,0.0114,5
359,373,352,369,347,0.8768,9.5457,1.8532,0.0068,-0.1152,-0.0181,C
224,569,184,171,147,0.6421,9.7989,0.3189,0.0249,-0.0374,-0.019,1
565,149,177,154,566,0.7103,9.0651,1.7468,-0.033,-0.0351,0.0411,Y
334,364,342,359,376,1.3598,8.9903,1.4739,0.094,0.026,-0.0164,C
332,379,184,139,140,0.4893,9.2618,1.1152,-0.0135,-0.019,-0.0308,9
173,185,184,173,144,0.1997,9.532,0.4017,0.1036,0.1214,-0.039,M
233,542,228,192,206,0.1335,9.6037,0.7721,-0.0636,-0.0577,0.0484,D
259,109,100,173,122,0.2111,9.873,1.4175,-0.096,0.0425,-0.0246,S
328,559,161,173,140,0.3751,7.114,6.8146,0.0227,-0.0126,0.0148,Q
212,577,245,234,186,0.8956,9.1341,0.3789,-0.0042,0.1127,-0.0101,D
158,209,179,198,93,-0.0596,9.7406,0.5897,-0.042,0.0698,0.1105,M
194,552,537,520,563,0.032,9.5723,0.5755,-0.074,0.018,0.035,4
168,535,538,535,540,0.8374,10.0994,1.0761,-0.0611,0.0036,-0.0647,B
215,514,579,551,153,-0.1696,9.8375,1.0544,0.063,0.0107,0.0227,W
155,562,591,538,532,-0.364,9.9138,-0.0649,-0.0186,0.0219,0.0093,B
217,553,154,180,119,0.5101,9.303,1.0156,-0.106,-0.0532,0.1127,1
530,554,132,165,138,0.1059,9.2751,1.5029,0.0117,-0.0139,-0.0586,L
560,552,547,571,552,0.0671,8.7417,1.0074,-0.0027,0.0635,-0.0434,5
213,541,576,166,144,0.6132,9.0825,1.3904,0.0335,0.0025,0.0234,V
291,535,363,544,563,0.1361,9.4481,0.9707,0.0163,0.0735,0.0537,8
224,471,485,160,125,0.3602,9.3504,0.8624,0.0342,0.0044,-0.0212,R
250,136,126,130,112,0.3862,9.8948,0.8451,0.0371,-0.0221,-0.0919,S
208,177,158,148,573,2.1917,8.5652,3.5233,-0.0013,-0.0128,-0.02,J
192,565,595,567,547,0.49,9.5849,0.6984,-0.0264,-0.0291,-0.0572,4
374,509,543,552,336,0.2659,9.5874,1.405,-0.0089,0.0201,0.0232,6
200,154,229,186,139,0.0105,9.5796,1.0371,-0.0561,-0.009,0.0455,N
225,237,217,233,184,0.6487,8.7827,0.6941,0.049,-0.0125,0.0104,E
558,540,545,158,120,0.1711,9.8037,1.411,0.0476,0.0471,-0.0208,3
191,543,539,590,533,0.1701,9.3329,0.9553,-0.0207,-0.0249,0.0321,4
197,161,162,144,544,1.9414,8.5814,3.2844,0.0046,0.0676,0.0803,J
246,397,156,178,125,-0.0848,9.6815,1.5494,-0.0191,-0.0454,0.0034,X
199,175,189,145,119,0.5111,9.8968,0.8664,-0.0375,0.0191,0.0362,N
203,546,558,156,98,0.9411,9.682,1.302,0.0831,0.0434,-0.0527,V
150,580,515,573,555,0.4579,9.7239,0.8419,-0.0194,-0.0549,0.071,B
390,580,553,149,147,0.5484,8.9684,0.8423,0.014,-0.108,0.0043,K
420,529,541,172,90,0.9567,7.3136,5.5385,-0.1052,0.0015,-0.056,P
349,584,584,342,591,0.1862,9.9935,1.1316,-0.0496,0.0828,0.0807,7
204,198,140,161,575,0.3094,9.6495,0.6827,-0.0214,-0.0043,0.0021,I
220,547,533,147,156,0.24,9.8996,1.0036,-0.0306,-0.0002,0.006,2
334,337,338,340,302,0.2826,9.3889,1.4936,-0.0541,0.0541,0.0362,O
184,582,572,184,139,0.4324,9.7133,0.6902,0.1059,-0.0069,-0.0238,2
300,310,311,354,319,0.6106,9.194,1.1824,0.038,0.0326,-0.0352,0
230,542,152,147,105,0.5179,9.792,0.9432,0.0275,0.0121,-0.0991,1
342,567,533,561,342,0.2747,9.3009,1.7376,0.1519,-0.0183,-0.0229,6
260,125,158,157,84,0.1704,10.0293,0.9692,0.0002,-0.0126,0.0661,S
202,244,221,233,218,0.4736,9.4234,0.4886,-0.0042,0.0412,0.0473,E
352,537,481,541,333,0.6371,9.6198,0.7799,-0.0123,-0.064,0.0162,6
346,322,350,337,326,0.9322,9.507,1.5214,-0.0041,-0.0067,0.0156,O
293,555,150,182,139,0.0803,6.9218,5.8763,0.045,0.1024,-0.109,Q
388,561,529,150,121,0.6023,9.5528,1.006,0.0943,-0.0918,-0.0519,K
319,526,165,185,117,0.7497,7.0081,6.2976,-0.0048,-0.0263,-0.0444,Q
309,543,156,127,135,0.1753,6.665,6.0334,-0.0528,0.025,0.0226,Q
312,548,550,137,117,5.0151,6.7792,2.258,-0.0329,0.0108,0.0058,H
227,155,151,107,50,0.7803,9.0899,0.9326,-0.0585,-0.0901,0.0271,A
377,387,410,342,364,0.8771,9.235,1.0589,-0.0631,-0.0388,0.0039,C
202,130,158,181,573,1.8006,8.0234,3.1528,0.0671,-0.0331,-0.0402,J
214,191,166,200,112,0.4686,9.8645,1.1059,-0.008,-0.0207,-0.0313,M
175,555,532,534,582,0.4338,9.6883,0.3746,-0.1013,-0.0535,0.0956,B
291,350,340,335,297,0.8316,9.8049,1.3778,-0.0159,0.0011,-0.02,0
518,557,555,553,544,0.5868,9.1707,1.2381,0.0442,-0.0032,-0.0732,5
183,183,208,202,203,0.198,9.7663,1.4195,0.0391,-0.0108,0.0071,E
192,529,538,560,554,0.513,9.3015,0.7161,-0.0036,0.1113,-0.0364,4
305,338,315,316,337,0.9601,9.2132,1.7193,-0.0537,0.0265,-0.0192,0
345,379,342,374,363,0.4266,9.0279,1.3595,-0.0379,0.0675,-0.0327,C
271,547,194,142,129,5.661,7.1896,2.0378,0.0253,-0.02,0.065,G
174,211,200,211,184,0.429,9.0156,0.5663,0.0181,-0.0399,0.0537,E
206,565,559,167,146,0.379,9.6536,0.764,-0.0358,-0.0357,0.0074,U
221,549,559,554,155,0.5295,9.3808,1.4855,0.0766,0.0343,0.0506,W
388,543,538,143,141,0.7698,7.0,6.0199,-0.0346,0.0534,0.0869,P
309,567,527,157,125,4.8457,7.2699,1.7839,-0.0278,-0.0355,0.0546,H
531,547,153,171,112,0.527,9.1575,1.3201,0.0149,0.0117,-0.0209,L
272,233,518,548,538,0.7946,9.4127,1.2496,-0.0353,0.0871,0.1421,F
212,535,557,169,133,0.3343,9.702,1.0631,0.0155,0.0049,-0.0263,U
188,202,169,164,120,0.0297,9.4847,0.1036,-0.0379,-0.055,-0.014,N
184,180,184,157,555,1.7884,8.5268,3.0608,0.0403,0.0399,-0.1151,J
382,528,560,166,138,0.2928,9.7372,0.876,0.0558,0.0172,-0.0103,K
367,544,556,533,376,0.4377,9.6507,1.0478,0.0233,-0.0778,-0.1098,6
230,561,152,159,141,0.1409,9.4261,0.3075,-0.0304,0.0015,-0.0013,1
566,185,135,175,573,0.7902,9.5541,1.6334,0.0202,0.0596,-0.0312,Y
175,527,580,553,589,-0.0199,10.2454,0.7325,0.0277,0.0117,-0.0124,B
334,554,528,311,577,0.2709,9.4543,1.1224,0.123,0.0677,-0.0113,7
521,530,154,120,119,0.4395,9.0117,1.1879,-0.011,0.0178,-0.0445,L
157,205,177,192,146,0.7113,9.5913,0.9153,-0.0452,0.0842,-0.0083,M
327,137,172,169,111,0.132,9.7819,0.4949,0.0279,-0.0157,0.028,T
214,558,540,173,143,0.8359,9.1561,1.4299,-0.0632,0.0101,0.0311,V
571,557,603,572,555,-0.0755,9.2386,0.7187,-0.0261,-0.0063,0.0159,5
222,339,170,195,92,0.1818,9.7511,1.8831,0.0294,-0.0365,-0.0074,X
242,116,143,152,104,0.5459,9.2569,1.0279,-0.0165,-0.0097,-0.0056,S
193,200,194,171,128,0.3392,9.828,0.4794,-0.102,0.0088,0.0177,M
276,254,559,544,572,0.6509,9.5446,0.9722,-0.0411,0.0473,-0.004,F
320,345,157,173,122,0.8454,9.7591,1.0146,-0.0218,0.0022,-0.0333,9
288,526,558,183,126,4.8628,7.0467,2.0166,0.0121,-0.1264,-0.0535,H
190,523,536,537,114,0.4417,9.2659,0.7939,-0.0513,0.0773,-0.0179,W
221,359,153,170,144,-0.3614,9.5015,0.4036,0.0491,0.05,0.002,X
227,521,540,170,122,0.7234,9.4806,0.8364,-0.006,-0.0764,0.0196,2
282,121,155,128,121,0.2377,9.7206,1.0128,-0.0563,-0.0708,-0.0371,S
386,342,351,414,333,0.5939,9.2203,0.8769,-0.0118,0.1073,-0.0772,C
232,167,154,129,76,1.272,9.5178,1.0042,-0.0012,0.0099,-0.0072,A
319,524,164,172,138,0.5535,7.0496,6.5015,0.0067,-0.0612,-0.0118,Q
249,551,222,261,166,0.5389,10.0992,0.7025,0.043,-0.0491,-0.0343,D
181,186,201,193,134,0.0545,9.2591,0.5342,-0.0266,-0.0115,0.0519,M
188,380,143,125,152,0.2086,9.8644,0.7254,-0.0822,-0.0161,-0.0604,X
